item_number,location_code,quantity,check,source
HLin-6900-R-Black,Wall 2.3.3,1,,p1 r1
62.372.632.09,9.1.1,1,,p1 r2
22111,Planet Box 1,6,location name hard to read,p1 r3
40400BL,Volper Box,1,,p1 r4
40225BL,Volper Box,1,,p1 r5
HSW60 Shaft,7.1.2,1,,p1 r6
30306BL,2.2.5,1,,p1 r7
CF72,Wall 1.4,1,,p1 r8
6-30019-28-0-1,Row7 L&S Box.1,1,,p1 r9
P9KB6050-532022,Row7 L&S Box.3,4,,p1 r10
HLin-6900-L-Black,Wall 2.3.3,3,first qty crossed out - 3 written beside it,p2 r1
PMKB0500-100011,4.3.2,4,item number hard to read (trailing digits),p2 r2
K-16493-00-0-18,4.3.2,2,,p2 r3
17-PD14,3.1.1,1,,p2 r4
17-PD12,3.1.1,1,,p2 r5
Large Strike Plate,3.1.4,1,description not an item number,p2 r6
RLRHSWB7,5.3.1,12,last character may be T,p2 r7
12-MPH-302C,2.2.1,2,,p2 r8
12-MPH-302R,2.2.1,2,,p2 r9
FP.M.X.X.FR.55,2.2.5,2,,p2 r10
Mt.Mt.Mount,2.2.5,2,,p2 r11
BP.Mt.70.E.X.XX,2.2.5,2,,p2 r12
Pivotec 80SN,2.1.3,3,,p2 r13
Pivotec 80B,7.1.3,3,location may be 2.1.3,p2 r14
P501-0313-05C,7.2.4,1,item number hard to read,p2 r15
