Name,Category
Tooling,Aluminum
Shop Supplies OLD,Shop Supplies
Lift and Slide,Lift & Slides
Surcharge,Z Fees
Outside Service,Z Fees
Equipment Repairs,Z Fees
Aluminum OLD,Aluminum
Material,Aluminum
Wood,Wood at P2
Customer Freight,Z Fees
24 LPPS,Hardware small parts
LP0PS,Hardware small parts
"23165 - 240""",Aluminum
24294 - Dark,Aluminum
"22407 - Clear - 240""",Aluminum
"25885 - 265"" - Dark",Aluminum
"24192 - 288"" - Mill",Aluminum
"11441 - 288"" - Mill",Aluminum
"25884 - 288"" - Dark",Aluminum
"22407  - Dark  - 240""",Aluminum
"23638 - 288"" - Mill",Aluminum
25883 - Dark,Aluminum
"21523 - 228"" - Mill",Aluminum
"23622 - 264""",Aluminum
21522 - Dark,Aluminum
25882 - Dark,Aluminum
11440 - Dark,Aluminum
"23166 - 264""",Aluminum
21522 - Clear,Aluminum
"25877 - 288"" -Mill",Aluminum
21520 - Dark,Aluminum
"25876 - 288"" - Mill",Aluminum
"21393 - 228"" - Mill",Aluminum
8262 - Dark,Aluminum
11190 - Dark,Aluminum
21391 - 228,Aluminum
"11456 - 288"" - Mill",Aluminum
"25870 - 288"" - Mill",Aluminum
8262 - Clear,Aluminum
"25869 - 288"" - Mill",Aluminum
"25860 - 288"" - Mill",Aluminum
"11451 - 288"" Mill",Aluminum
"25719 - 288"" - Mill",Aluminum
11189 - Dark,Aluminum
440.060.001.00,Aluminum
"25862 - 288"" - Mill",Aluminum
"25399 - 288"" - Mil",Aluminum
"25861 - 288"" - Mill",Aluminum
"11444 - Dark - 288""",Aluminum
"2758 - 264""",Aluminum
"24892 - 288"" -Dark",Aluminum
"11151 - 236.25""",Aluminum
24314 new order,Aluminum
"274X224AFGT - 192""",Aluminum
"24295 - 240""",Aluminum
"11444 - 288"" - Clear",Aluminum
"274X224AFGT - 185"" - DARK",Aluminum
11 GAUGE HOT ROLLED SHEET,Aluminum
11459 - Dark,Aluminum
11459 - Clear,Aluminum
"11457 - 288"" - Dark",Aluminum
12062 - Clear,Aluminum
"11828 - 236.25""",Aluminum
"11827- 236.25""",Aluminum
"11625- 288"" - Dark",Aluminum
"11625 - 288"" - Clear",Aluminum
11604 - Clear,Aluminum
"11604 - 240""",Aluminum
"14912 - 252""",Aluminum
"14893 - 252""",Aluminum
"19129 - 288"" - PC Matte Black",Aluminum
"19129 - 240""",Aluminum
"21390 - 228"" - Mill",Aluminum
"19129 - 216"" - PC Matte Black",Aluminum
"21389 - 228"" - Mill",Aluminum
"19127 - 240""",Aluminum
"21388 - 228""",Aluminum
"19126 - 240""",Aluminum
"21387 - 228""",Aluminum
"15071 - 288"" - Mill",Aluminum
19163 - Dark,Aluminum
"21386 - 228""",Aluminum
"19163 - 240"" - Clear",Aluminum
"14965 - 288"" - Mill",Aluminum
"21385 - 228""",Aluminum
"14913 - 252"" - Mill",Aluminum
"2 3/16"" TB STD Surface Track - 288"" - Mill",Aluminum
12102 - Dark,Aluminum
12837 - Clear,Aluminum
19163 - PIVOT THRESHOLD COMPLETE TB - DARK,Aluminum
12101 - Dark,Aluminum
13133 - Clear,Aluminum
"12559 - 288"" - Mill",Aluminum
12098 - Dark,Aluminum
13126 - Dark,Aluminum
12062 - Dark,Aluminum
"12258 - 288"" - Mill",Aluminum
13126 - Clear,Aluminum
"12131 - 288"" - Mill",Aluminum
13125 - Dark,Aluminum
14816 - Dark,Aluminum
"12126 - 288"" - Mill",Aluminum
13125 - Clear,Aluminum
14816 - Clear,Aluminum
"12948 - 236 1/4""",Aluminum
"12125 - 288"" - Mill",Aluminum
"14804 - 288"" - Mill",Aluminum
13133 - Dark,Aluminum
TIGER - WEATHERED STEEL AMBRA - 2604,Powder Coating
2604 - Dark Bronze #14 - IFS,Powder Coating
Job# 90429 Zig Zag Screen 1,Special Hardware
